step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
244,23,7,cover,23,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.5104166666666666,,toward_cover
245,24,7,cover,24,7,floor,0.0,0.0,0.0,normal,1.0,0.5125,,toward_cover
246,25,7,cover,25,7,floor,0.0,0.0,0.0,normal,1.0,0.5145833333333333,,toward_cover
247,26,7,cover,26,7,floor,0.0,0.0,0.0,normal,1.0,0.5166666666666667,,toward_cover
248,27,7,cover,27,7,floor,0.0,0.0,0.0,normal,1.0,0.51875,,toward_cover
249,28,7,cover,28,7,floor,0.0,0.0,0.0,normal,1.0,0.5208333333333334,,toward_cover
250,28,8,cover,28,8,floor,0.0,0.0,0.0,normal,1.0,0.5229166666666667,,toward_cover
251,27,8,cover,27,8,floor,0.0,0.0,0.0,normal,1.0,0.525,,toward_cover
252,26,8,cover,26,8,floor,0.0,0.0,0.0,normal,1.0,0.5270833333333333,,toward_cover
253,25,8,cover,25,8,floor,0.0,0.0,0.0,normal,1.0,0.5291666666666667,,toward_cover
254,24,8,cover,24,8,floor,0.0,0.0,0.0,normal,1.0,0.53125,,toward_cover
255,23,8,cover,23,8,floor,0.0,0.0,0.0,normal,1.0,0.5333333333333333,,toward_cover
256,22,8,cover,22,8,floor,0.0,0.0,0.0,normal,1.0,0.5354166666666667,,toward_cover
257,21,8,cover,21,8,floor,0.0,0.0,0.0,normal,1.0,0.5375,,toward_cover
258,20,8,cover,20,8,floor,0.0,0.0,0.0,normal,1.0,0.5395833333333333,,toward_cover
259,19,8,cover,19,8,floor,0.0,0.0,0.0,normal,1.0,0.5416666666666666,,toward_cover
260,18,8,cover,18,8,floor,0.0,0.0,0.0,normal,1.0,0.54375,,toward_cover
261,17,8,cover,17,8,floor,0.0,0.0,0.0,normal,1.0,0.5458333333333333,,toward_cover
262,16,8,cover,16,8,floor,0.0,0.0,0.0,normal,1.0,0.5479166666666667,,toward_cover
263,15,8,cover,15,8,floor,0.0,0.0,0.0,normal,1.0,0.55,,toward_cover
264,14,8,cover,14,8,floor,0.0,0.0,0.0,normal,1.0,0.5520833333333334,,toward_cover
265,14,9,cover,14,9,floor,0.0,0.0,0.0,normal,1.0,0.5541666666666667,,toward_cover
266,15,9,cover,15,9,floor,0.0,0.0,0.0,normal,1.0,0.55625,,toward_cover
267,16,9,cover,16,9,floor,0.0,0.0,0.0,normal,1.0,0.5583333333333333,,toward_cover
268,17,9,cover,17,9,floor,0.0,0.0,0.0,normal,1.0,0.5604166666666667,,toward_cover
269,18,9,cover,18,9,floor,0.0,0.0,0.0,normal,1.0,0.5625,,toward_cover
270,19,9,cover,19,9,floor,0.0,0.0,0.0,normal,1.0,0.5645833333333333,,toward_cover
271,20,9,cover,20,9,floor,0.0,0.0,0.0,normal,1.0,0.5666666666666667,,toward_cover
272,21,9,cover,21,9,floor,0.0,0.0,0.0,normal,1.0,0.56875,,toward_cover
